,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
log_tau_participant_raw[160],1.153,0.661,0.045,2.424,0.01,0.015,5816.0,2341.0,1.0
log_tau_participant_raw[161],0.864,0.645,-0.281,2.038,0.01,0.011,5542.0,2642.0,1.0
log_tau_participant_raw[162],0.83,0.656,-0.31,2.071,0.01,0.012,5878.0,2676.0,1.0
log_tau_participant_raw[163],0.184,0.658,-0.862,1.416,0.012,0.014,4471.0,2494.0,1.0
log_tau_participant_raw[164],-0.013,0.518,-0.824,1.0,0.012,0.018,3370.0,1498.0,1.0
log_tau_participant_raw[165],-1.836,0.517,-2.817,-0.912,0.007,0.01,5834.0,2942.0,1.0
log_tau_participant_raw[166],0.261,0.606,-0.691,1.456,0.011,0.012,4074.0,2354.0,1.0
log_tau_participant_raw[167],0.339,0.608,-0.595,1.564,0.013,0.016,3415.0,1774.0,1.0
log_tau_participant_raw[168],-0.589,0.485,-1.395,0.319,0.012,0.023,2919.0,1268.0,1.0
log_tau_participant_raw[169],-0.067,0.536,-0.887,0.985,0.011,0.015,3407.0,1699.0,1.0
log_tau_participant_raw[170],0.987,0.667,-0.142,2.309,0.01,0.012,5016.0,2913.0,1.0
log_tau_participant_raw[171],0.654,0.657,-0.432,1.928,0.01,0.014,5392.0,2530.0,1.0
log_tau_participant_raw[172],0.91,0.658,-0.142,2.253,0.01,0.012,5252.0,2741.0,1.0
log_tau_participant_raw[173],0.8,0.628,-0.289,1.952,0.011,0.013,4467.0,2264.0,1.0
log_tau_participant_raw[174],0.964,0.65,-0.146,2.192,0.01,0.011,5392.0,2658.0,1.0
log_tau_participant_raw[175],-0.463,0.447,-1.182,0.382,0.011,0.023,3618.0,1243.0,1.0
log_tau_participant_raw[176],-0.63,0.376,-1.279,0.086,0.007,0.011,4191.0,1834.0,1.0
log_tau_participant_raw[177],0.964,0.654,-0.16,2.193,0.009,0.011,5823.0,2983.0,1.0
log_tau_participant_raw[178],-1.527,0.578,-2.616,-0.502,0.007,0.01,6773.0,2881.0,1.0
log_tau_participant_raw[179],1.069,0.655,-0.054,2.306,0.009,0.011,6448.0,3008.0,1.0
log_tau_participant_raw[180],-0.06,0.63,-1.052,1.162,0.013,0.013,3509.0,2270.0,1.0
log_tau_participant_raw[181],0.584,0.659,-0.553,1.811,0.011,0.011,4798.0,2397.0,1.0
log_tau_participant_raw[182],0.787,0.656,-0.294,2.065,0.01,0.011,5330.0,2769.0,1.0
log_tau_participant_raw[183],1.247,0.622,0.102,2.364,0.009,0.011,6033.0,2715.0,1.0
log_tau_participant_raw[184],1.319,0.632,0.212,2.547,0.009,0.011,6302.0,2457.0,1.0
log_tau_participant_raw[185],0.712,0.664,-0.421,1.919,0.01,0.011,5825.0,2770.0,1.0
log_tau_participant_raw[186],0.807,0.672,-0.405,2.038,0.01,0.013,6143.0,2778.0,1.0
log_tau_participant_raw[187],0.198,0.588,-0.776,1.3,0.011,0.015,4026.0,2153.0,1.0
log_tau_participant_raw[188],0.883,0.645,-0.243,2.083,0.01,0.011,5455.0,2557.0,1.0
log_tau_participant_raw[189],0.73,0.664,-0.377,2.0,0.01,0.012,5637.0,2403.0,1.0
