,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
log_tau_participant_raw[176],0.917,0.658,-0.253,2.101,0.012,0.012,3751.0,2531.0,1.0
log_tau_participant_raw[177],0.576,0.625,-0.392,1.823,0.012,0.012,3613.0,2087.0,1.0
log_tau_participant_raw[178],-1.124,0.349,-1.795,-0.473,0.006,0.006,3419.0,2810.0,1.0
log_tau_participant_raw[179],1.005,0.649,-0.13,2.226,0.011,0.011,4249.0,2719.0,1.0
log_tau_participant_raw[180],-0.456,0.493,-1.218,0.492,0.011,0.017,2959.0,1429.0,1.0
log_tau_participant_raw[181],0.628,0.625,-0.427,1.835,0.011,0.011,3760.0,2403.0,1.0
log_tau_participant_raw[182],1.334,0.64,0.239,2.588,0.01,0.011,4406.0,2222.0,1.0
log_tau_participant_raw[183],0.645,0.667,-0.524,1.855,0.012,0.012,3746.0,2414.0,1.0
log_tau_participant_raw[184],0.778,0.685,-0.369,2.113,0.011,0.012,4690.0,2144.0,1.0
log_tau_participant_raw[185],0.963,0.635,-0.134,2.177,0.01,0.011,4521.0,2667.0,1.0
log_tau_participant_raw[186],1.052,0.646,-0.044,2.321,0.012,0.012,3790.0,2242.0,1.0
log_tau_participant_raw[187],0.914,0.668,-0.228,2.194,0.011,0.012,4532.0,2301.0,1.0
log_tau_participant_raw[188],0.151,0.622,-0.778,1.392,0.015,0.018,2600.0,1439.0,1.0
log_tau_participant_raw[189],0.118,0.656,-1.0,1.302,0.015,0.016,2737.0,1758.0,1.0
log_tau_participant_raw[190],0.613,0.703,-0.548,1.943,0.014,0.015,3465.0,2156.0,1.0
log_tau_participant_raw[191],-1.987,0.516,-2.974,-1.057,0.008,0.01,4877.0,2705.0,1.0
log_tau_participant_raw[192],1.022,0.623,-0.031,2.239,0.01,0.012,4494.0,2440.0,1.0
log_tau_participant_raw[193],-0.293,0.605,-1.266,0.85,0.015,0.021,2437.0,1403.0,1.0
log_tau_participant_raw[194],-1.049,0.307,-1.588,-0.449,0.005,0.006,3877.0,2660.0,1.0
log_tau_participant_raw[195],-0.484,0.371,-1.108,0.217,0.007,0.012,3266.0,1666.0,1.0
log_tau_participant_raw[196],0.375,0.643,-0.713,1.576,0.012,0.012,3725.0,2581.0,1.0
log_tau_participant_raw[197],-0.119,0.493,-0.938,0.81,0.011,0.015,2898.0,1427.0,1.0
log_tau_participant_raw[198],-0.922,0.391,-1.582,-0.269,0.012,0.024,2247.0,1026.0,1.0
log_tau_participant_raw[199],0.605,0.668,-0.556,1.838,0.012,0.014,3806.0,2164.0,1.0
log_tau_participant_raw[200],-0.694,0.351,-1.32,-0.064,0.007,0.012,3516.0,1838.0,1.0
log_tau_participant_raw[201],-0.038,0.658,-1.087,1.25,0.014,0.016,3121.0,2025.0,1.0
